prog_id,event_id,prog_name,is_race,prog_date,prog_gender,results,team,race_title,race_venue,race_country,cat_id,cat_name
309915,111402,Junior Men,True,2016-06-18,male,True,False,2016 SWE Triathlon Junior National Championships,,Sweden,[-1],['']
309918,111405,Elite Men,True,2016-06-18,male,True,False,2016 SWE Sprint Triathlon National Championships,,Sweden,[-1],['']
299060,103658,Elite Men,True,2016-06-26,male,True,False,2016 Valga ETU Triathlon Baltic Championships,Valga,Estonia,[347],['Regional Championships']
308048,110485,Elite Men,True,2016-06-25,male,True,False,2016 HUN Sprint Triathlon National Championships,,Hungary,[-1],['']
308050,110485,Junior Men,True,2016-06-25,male,True,False,2016 HUN Sprint Triathlon National Championships,,Hungary,[-1],['']
308499,110730,Elite Men,True,2016-06-25,male,True,False,2016 IRL Triathlon National Championships,,Ireland,[-1],['']
281272,100630,Elite Men,True,2016-06-26,male,True,False,2016 Châteauroux ETU Sprint Triathlon European Championships,Châteauroux ,France,[340],['Continental Championships']
282291,102759,Elite Men,True,2016-06-26,male,True,False,2016 Gamagori NTT ASTC Triathlon Asian Cup,Gamagori,Japan,[341],['Continental Cup']
307812,110233,Elite Men,True,2016-06-28,male,True,False,2016 GER Triathlon National Championships,,Germany,[-1],['']
308200,110233,U23 Men,True,2016-06-28,male,True,False,2016 GER Triathlon National Championships,,Germany,[-1],['']
301490,102760,Elite Men,True,2016-07-02,male,True,False,2016 Kokshetau NTT ASTC Triathlon Asian Cup,Kokshetau,Kazakhstan,[341],['Continental Cup']
307758,110221,Elite Men,True,2016-07-02,male,True,False,2016 LUX Triathlon National Championships,,Luxembourg,[-1],['']
307760,110221,Junior Men,True,2016-07-02,male,True,False,2016 LUX Triathlon National Championships,,Luxembourg,[-1],['']
281276,97642,Elite Men,True,2016-07-02,male,True,False,2016 ITU World Triathlon Stockholm,Stockholm ,Sweden,[351],['World Championship Series']
281291,100893,Elite Men,True,2016-07-02,male,True,False,2016 Holten ETU Sprint Triathlon Premium European Cup,Holten,Netherlands,[341],['Continental Cup']
281288,100894,Junior Men,True,2016-07-02,male,True,False,2016 Holten ETU Triathlon Junior European Cup,Holten,Netherlands,[342],['Continental Junior Cup']
319066,120093,Elite Men,True,2016-07-03,male,True,False,2016 BER Triathlon National Championships,,Bermuda,[-1],['']
281298,100587,Elite Men,True,2016-07-10,male,True,False,2016 Tiszaujvaros ITU Triathlon World Cup,Tiszaujvaros ,Hungary,[349],['World Cup']
281302,101524,U23 Men,True,2016-07-09,male,True,False,2016 West Des Moines CAMTRI Triathlon U23 and Junior American Championships,"Raccoon river park, raccoon river park, 2500 grand ave, west des moines, ia 50265",United states,[340],['Continental Championships']
281305,101524,Junior Men,True,2016-07-09,male,True,False,2016 West Des Moines CAMTRI Triathlon U23 and Junior American Championships,"Raccoon river park, raccoon river park, 2500 grand ave, west des moines, ia 50265",United states,[340],['Continental Championships']
281310,100895,Elite Men,True,2016-07-10,male,True,False,2016 Tartu ETU Sprint Triathlon European Cup,Tartu,Estonia,[341],['Continental Cup']
282295,102761,Elite Men,True,2016-07-10,male,True,False,2016 Osaka NTT ASTC Sprint Triathlon Asian Cup,"Maishima, konohana, osaka",Japan,[341],['Continental Cup']
308812,110822,Elite Men,True,2016-07-10,male,True,False,2016 LAT Triathlon National Championships,,Latvia,[-1],['']
282299,102762,Elite Men,True,2016-07-16,male,True,False,2016 Singapore ASTC Triathlon Asian Cup,"Singapore, angsana green, east coast park",Singapore,[341],['Continental Cup']
308454,110699,Junior Men,True,2016-07-16,male,True,False,2016 IRL Triathlon Junior National Championships,,Ireland,[-1],['']
281314,97643,Elite Men,True,2016-07-16,male,True,False,2016 ITU World Triathlon Hamburg,Hamburg,Germany,[351],['World Championship Series']
298945,103615,Elite Men,True,2016-07-16,male,True,False,2016 Altafulla ETU Triathlon European Cup and Mediterranean Championships,Altafulla,Spain,[341],['Continental Cup']
308762,110781,Junior Men,True,2016-07-17,male,True,False,2016 JPN Triathlon Junior National Championships,,Japan,[-1],['']
308886,110896,Elite Men,True,2016-07-17,male,True,False,2016 POL Triathlon National Championships,,Poland,[-1],['']
309176,111166,Elite Men,True,2016-07-22,male,True,False,2016 SAM Triathlon National Championships,,Samoa,[-1],['']
307596,110159,Junior Men,True,2016-07-23,male,True,False,2016 ITA Triathlon Junior National Championships,,Italy,[-1],['']
307807,110228,Junior Men,True,2016-07-23,male,True,False,2016 GER Triathlon Junior National Championships,,Germany,[-1],['']
308124,110515,Elite Men,True,2016-07-23,male,True,False,2016 CAN Triathlon National Championships,,Canada,[-1],['']
308132,110517,Junior Men,True,2016-07-23,male,True,False,2016 CAN Triathlon Junior National Championships,,Canada,[-1],['']
309912,111400,Elite Men,True,2016-07-23,male,True,False,2016 SWE Triathlon National Championships,,Sweden,[-1],['']
281353,100897,Elite Men,True,2016-07-23,male,True,False,2016 Rotterdam ETU Sprint Triathlon European Cup,Rotterdam,Netherlands,[341],['Continental Cup']
281361,101526,Elite Men,True,2016-07-23,male,True,False,2016 Ottawa CAMTRI Triathlon American Cup,Ottawa,Canada,[341],['Continental Cup']
281357,100898,Junior Men,True,2016-07-24,male,True,False,2016 Riga ETU Triathlon Junior European Cup,Riga,Latvia,[342],['Continental Junior Cup']
307752,110212,Elite Men,True,2016-07-24,male,True,False,2016 ROU Triathlon National Championships,,Romania,[-1],['']
307754,110212,Junior Men,True,2016-07-24,male,True,False,2016 ROU Triathlon National Championships,,Romania,[-1],['']
309121,111124,Elite Men,True,2016-07-24,male,True,False,2016 POR Triathlon National Championships,,Portugal,[-1],['']
309124,111129,Junior Men,True,2016-07-24,male,True,False,2016 POR Triathlon Junior National Championships,,Portugal,[-1],['']
308976,110992,Elite Men,True,2016-07-29,male,True,False,2016 MGL Sprint Triathlon National Championships,,Mongolia,[-1],['']
308978,110992,Junior Men,True,2016-07-30,male,True,False,2016 MGL Sprint Triathlon National Championships,,Mongolia,[-1],['']
305803,107716,Junior Men,True,2016-07-30,male,True,False,2016 USA Triathlon Junior National Championships,,United states,[-1],['']
307630,110169,Elite Men,True,2016-07-30,male,True,False,2016 ITA Triathlon National Championships,,Italy,[-1],['']
