event_id,event_title,event_slug,event_venue,event_website,event_date,event_country,event_region_id,event_country_id,event_latitude,event_longitude,event_categories,event_specifications
66637,2013 ITU World Triathlon Hamburg,2013-itu-world-triathlon-hamburg,Hamburg,,2013-07-20,Germany,10,170,53.55108,9.99368,"[{'event_id': 66637, 'cat_id': 351, 'cat_name': 'World Championship Series', 'cat_parent_id': 1}]","[{'event_id': 66637, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 66637, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}]"
68809,2013 Jiayuguan ITU Triathlon Premium Asian Cup,2013-jiayuguan-itu-triathlon-premium-asian-cup,Jiayuguan,http://triathlon.sport.org.cn,2013-07-20,China,13,141,39.77313,98.28915,"[{'event_id': 68809, 'cat_id': 341, 'cat_name': 'Continental Cup', 'cat_parent_id': 1}]","[{'event_id': 68809, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 68809, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
78812,2013 GER Para Triathlon National Championships,2013-ger-paratriathlon-national-championships,,,2013-07-20,Germany,10,170,51.165691,10.451526,,"[{'event_id': 78812, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 78812, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}, {'event_id': 78812, 'cat_id': 381, 'cat_name': 'Paratriathlon', 'cat_parent_id': 357}]"
78927,2013 RUS Long Distance Triathlon National Championships,2013-rus-long-distance-triathlon-national-championships,,,2013-07-20,Russia,10,251,61.52401,105.318756,,"[{'event_id': 78927, 'cat_id': 356, 'cat_name': 'Long Distance Triathlon', 'cat_parent_id': 3}, {'event_id': 78927, 'cat_id': 373, 'cat_name': 'Middle Distance', 'cat_parent_id': 356}]"
80562,2013 AUT Triathlon National Championships,2013-aut-triathlon-national-championships,,,2013-07-20,Austria,10,112,47.516231,14.550072,,"[{'event_id': 80562, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 80562, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
80014,2013 POL Long Distance Triathlon National Championships,2013-pol-long-distance-triathlon-national-championships,,,2013-07-21,Poland,10,246,51.919438,19.145136,,"[{'event_id': 80014, 'cat_id': 356, 'cat_name': 'Long Distance Triathlon', 'cat_parent_id': 3}, {'event_id': 80014, 'cat_id': 373, 'cat_name': 'Middle Distance', 'cat_parent_id': 356}]"
80338,2013 BUL Triathlon National Championships,2013-bul-triathlon-national-championships,,,2013-07-21,Bulgaria,10,130,42.733883,25.48583,,"[{'event_id': 80338, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 80338, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}]"
66638,2013 Hamburg ITU Triathlon Mixed Relay World Championships,2013-hamburg-itu-triathlon-mixed-relay-world-championships,Hamburg,,2013-07-21,Germany,10,170,53.55108,9.99368,"[{'event_id': 66638, 'cat_id': 348, 'cat_name': 'World Championships', 'cat_parent_id': 1}]","[{'event_id': 66638, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 66638, 'cat_id': 380, 'cat_name': 'Mixed Relay', 'cat_parent_id': 357}]"
66929,2013 Tartu ITU Sprint Triathlon European Cup,2013-tartu-itu-triathlon-european-cup,Tartu,https://web.archive.org/web/20131231100000/http://tartutriatlon.ee/,2013-07-21,Estonia,10,162,58.3705,26.7246,"[{'event_id': 66929, 'cat_id': 341, 'cat_name': 'Continental Cup', 'cat_parent_id': 1}]","[{'event_id': 66929, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 66929, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}]"
66930,2013 Geneva ITU Triathlon European Cup,2013-geneva-itu-triathlon-european-cup,Geneva,https://web.archive.org/web/20131231100000/http://www.tig.ch/fr/,2013-07-21,Switzerland,10,276,46.1983922,6.1422961,"[{'event_id': 66930, 'cat_id': 341, 'cat_name': 'Continental Cup', 'cat_parent_id': 1}]","[{'event_id': 66930, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 66930, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
